"","time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource"
"27","1932-12-07T16:22:13.000Z",18.468,-104.28,15,6.6,"mw",NA,NA,NA,NA,"iscgem","iscgem906492","2015-05-13T18:52:43.000Z","offshore Colima, Mexico","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"28","1932-07-25T09:12:51.000Z",18.816,-103.946,20,6.8,"mw",NA,NA,NA,NA,"iscgem","iscgem906304","2015-05-13T18:52:43.000Z","offshore Colima, Mexico","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"29","1932-07-12T19:24:11.000Z",26.152,-110.157,10,6.7,"mw",NA,NA,NA,NA,"iscgem","iscgem906288","2015-05-13T18:52:43.000Z","Gulf of California","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"30","1932-07-07T16:15:55.000Z",29.318,-113.247,10,6.8,"mw",NA,NA,NA,NA,"iscgem","iscgem906276","2015-05-13T18:52:43.000Z","Baja California, Mexico","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"31","1932-06-27T10:07:22.780Z",31.5301667,-116.091,6,4.76,"ml",2,347,1.655,0.09,"ci","ci3359075","2016-01-27T18:42:27.260Z","50km ESE of Maneadero, B.C., MX","earthquake",2.54,31.61,0.059,12,"reviewed","ci","ci"
"32","1932-06-22T12:59:31.000Z",19.373,-104.224,25,7.7,"mw",NA,NA,NA,NA,"iscgem","iscgem906247","2015-05-13T18:52:43.000Z","Jalisco, Mexico","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"33","1932-06-18T10:12:11.000Z",19.419,-103.907,15,7.8,"mw",NA,NA,NA,NA,"iscgem","iscgem906234","2015-05-13T18:52:43.000Z","Colima, Mexico","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"34","1932-06-03T10:36:56.000Z",19.786,-103.784,15,8.1,"mw",NA,NA,NA,NA,"iscgem","iscgem906183","2015-05-13T18:52:43.000Z","Jalisco, Mexico","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"35","1932-01-28T17:17:48.420Z",31.3858333,-116.515,6,4.59,"mh",3,335,1.601,0.25,"ci","ci3358503","2016-01-27T18:51:32.710Z","37km S of Maneadero, B.C., MX","earthquake",6.36,31.61,0.021,3,"reviewed","ci","ci"
"36","1935-04-29T20:08:10.730Z",31.5938333,-116.4621667,6,5.06,"ml",4,349,1.433,0.17,"ci","ci3362926","2016-01-27T18:53:20.590Z","17km SE of Maneadero, B.C., MX","earthquake",9.87,31.61,0.077,9,"reviewed","ci","ci"
"37","1935-02-24T01:44:58.010Z",31.784,-114.801,6,5.65,"ml",4,342,2.339,0.48,"ci","ci3362764","2016-01-27T18:57:45.720Z","49km SSE of Estacion Coahuila, B.C., MX","earthquake",99,31.61,0.172,11,"reviewed","ci","ci"
"38","1934-12-31T18:45:44.080Z",32.18,-115.1755,6,6.42,"ml",5,318,1.884,0.32,"ci","ci3362656","2016-01-27T18:28:44.710Z","5km S of Alberto Oviedo Mota, B.C., MX","earthquake",23.53,31.61,0.08,4,"reviewed","ci","ci"
"39","1934-12-30T14:30:11.390Z",32.25,-115,6,4.64,"ml",5,329,2.645,3.69,"ci","ci3362653","2016-01-27T18:49:58.320Z","6km N of Estacion Coahuila, B.C., MX","earthquake",99,31.61,0.141,10,"reviewed","ci","ci"
"40","1934-12-30T13:52:03.310Z",32,-114.9,6,6.33,"ml",6,322,2.169,1.23,"ci","ci3362651","2016-04-02T00:58:19.927Z","24km SSE of Estacion Coahuila, B.C., MX","earthquake",99,31.61,0.032,7,"reviewed","ci","ci"
"41","1934-11-30T02:05:16.000Z",18.499,-105.276,15,7.1,"mw",NA,NA,NA,NA,"iscgem","iscgem905294","2015-05-13T18:52:43.000Z","offshore Jalisco, Mexico","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"42","1934-11-25T08:18:30.810Z",31.5008333,-116.0736667,6,5.1,"ml",6,341,1.687,0.26,"ci","ci3366201","2016-01-27T18:28:38.600Z","52km ESE of Maneadero, B.C., MX","earthquake",99,31.61,0.11,10,"reviewed","ci","ci"
"43","1934-03-02T21:30:24.570Z",33.1268333,-115.8256667,6,4.62,"ml",2,314,1.229,0.3,"ci","ci3362026","2016-01-27T18:45:13.550Z","22km WNW of Westmorland, CA","earthquake",3.38,31.61,0.024,14,"reviewed","ci","ci"
"44","1934-01-28T19:10:10.000Z",16.871,-99.848,30,6.8,"mw",NA,NA,NA,NA,"iscgem","iscgem904763","2015-05-13T18:52:43.000Z","Guerrero, Mexico","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"45","1933-12-14T07:16:36.000Z",18.643,-103.47,30,6.3,"mw",NA,NA,NA,NA,"iscgem","iscgem905954","2015-05-13T18:52:43.000Z","Michoacan, Mexico","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"46","1933-12-13T21:23:45.000Z",18.603,-104.474,20,6.6,"mw",NA,NA,NA,NA,"iscgem","iscgem905953","2015-05-13T18:52:43.000Z","offshore Colima, Mexico","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"47","1941-12-24T07:30:09.350Z",32.37,-115.962,6,4.59,"ml",0,360,2.007,0.126,"ci","ci3365838","2016-01-28T01:27:53.870Z","41km S of Ocotillo, CA","earthquake",NA,NA,NA,10,"reviewed","ci","ci"
"48","1941-09-13T18:14:55.000Z",18.377,-106.661,20,6.3,"mw",NA,NA,NA,NA,"iscgem","iscgem900995","2015-05-13T18:52:44.000Z","off the coast of Jalisco, Mexico","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"49","1941-04-15T19:09:57.000Z",18.69,-102.994,30,7.6,"mw",NA,NA,NA,NA,"iscgem","iscgem900764","2015-05-13T18:52:44.000Z","Michoacan, Mexico","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"50","1941-02-11T14:35:34.000Z",15.11,-94.845,15,6.6,"mw",NA,NA,NA,NA,"iscgem","iscgem900658","2015-05-13T18:52:44.000Z","near the coast of Oaxaca, Mexico","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
