"time.latitude.longitude.depth.mag.magType.nst.gap.dmin.rms.net.id.updated.place.type.horizontalError.depthError.magError.magNst.status.locationSource.magSource"
"26" "26 1992-06-28 11:57:34 34.2 -116.437 -0.097 7.3 mw 0 43.4 NA 0.194 ci ci3031111 2017-04-26 17:46:50 10km N of Yucca Valley, CA earthquake NA 0.31 NA 0 reviewed ci ci"
"27" "27 1992-04-25 18:06:05 40.3353333 -124.2286667 9.856 7.2 mh 9 115 0.1072 0.07 nc nc269151 2017-04-13 22:04:27 20km SSW of Rio Dell, California earthquake 0.33 0.64 NA 0 reviewed nc nc"
"28" "28 1991-08-17 22:17:09 41.679 -125.856 1.303 7 mh 90 295 1.473 0.09 nc nc228064 2016-12-18 14:45:52 136km WSW of Brookings, Oregon earthquake 1.73 11.06 NA 0 reviewed nc nc"
"29" "29 1991-05-30 13:17:41 54.567 -161.606 28.4 7 mw NA NA NA 1.1 us usp0004s9h 2016-11-10 00:36:28 Alaska Peninsula earthquake NA NA NA NA reviewed us hrv"
"30" "30 1990-11-06 20:14:29 53.452 169.871 24.8 7.1 mw NA NA NA 0.9 us usp0004gkj 2016-11-10 00:51:10 Komandorskiye Ostrova, Russia region earthquake NA NA NA NA reviewed us hrv"
"31" "31 1989-09-04 13:14:58 55.543 -156.835 11.4 7.1 mw NA NA NA 1.2 us usp0003z7h 2016-11-10 00:45:01 south of Alaska earthquake NA NA NA NA reviewed us hrv"
"32" "32 1988-03-06 22:35:38 56.953 -143.032 10 7.8 mw NA NA NA NA us usp0003dnb 2017-04-13 22:00:02 Gulf of Alaska earthquake NA NA NA NA reviewed ags hrv"
"33" "33 1987-11-30 19:23:19 58.679 -142.786 10 7.9 mw NA NA NA NA us usp0003aq8 2015-06-30 16:59:01 Gulf of Alaska earthquake NA NA NA NA reviewed spe hrv"
"34" "34 1986-05-07 22:47:10 51.52 -174.776 33 8 mw NA NA NA 1.1 us usp0002tmu 2016-11-10 02:39:15 Andreanof Islands, Aleutian Islands, Alaska earthquake NA NA NA NA reviewed us hrv"
"35" "35 1986-04-30 07:07:18 18.404 -102.973 26.5 7 mw NA NA NA 1.2 us usp0002tcb 2017-04-26 17:39:48 Michoacan, Mexico earthquake NA NA NA NA reviewed us nc"
